Dates,Pollster,Sample,Influence,Democrats,Republicans,Net
"4/16 - 4/19, 2025@@23850",<a href='https://americasnewmajorityproject.com/most-support-blocking-states-from-giving-medicaid-to-illegal-immigrants/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>^Sponsor: America's New Majority Project^,"1,638 LV@@1638",0,45.7,47.1,-1.399998
"4/15 - 4/18, 2025@@23849",<a href='https://www.thecentersquare.com/polls/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Noble Predictive Insights</a>^Sponsor: The Center Square^,"2,527 RV@@2527",0,45,42,3
"4/16 - 4/16, 2025@@23847",<a href='https://napolitannews.org/posts/democrats-make-huge-gains-on-generic-ballot'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan Institute^,"1,000 RV@@1000",0,50,45,5
"4/10 - 4/14, 2025@@23845",<a href='https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,"1,014 LV@@1014",0,47,47,0
"4/9 - 4/14, 2025@@23845",<a href='https://45840940.fs1.hubspotusercontent-na1.net/hubfs/45840940/Clarity%20Omnibus%20Overview_April%202025.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Clarity Campaign Labs</a>,"1,008 RV@@1008",0,44,45,-1
"4/9 - 4/13, 2025@@23844",<a href='https://www.cnbc.com/video/2025/04/17/tariffs-weight-on-trump-approval-cnbc-survey-finds.html'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Hart Research Associates/Public Opinion Strategies</a>^Sponsor: CNBC^,800 RV@@800,0,48,46,2
"4/7 - 4/13, 2025@@23844",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"26,749 RV@@26749",0,43.54,43.98,-0.4399986
"4/10 - 4/12, 2025@@23843",<a href='https://www.realclearpolitics.com/articles/2025/04/18/rcp_poll_voters_see_campus_bias_reject_trumps_tariff_pitch_152678.html'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RealClear Opinion Research</a>,"1,000 RV@@1000",0,39.8,39.2,0.5999985
"4/8 - 4/10, 2025@@23841",<a href='https://www.winningtheissues.org/2025/04/30/winning-the-issues-april-2025-national-survey/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The Winston Group</a>^Sponsor: Winning the Issues^,"1,000 RV@@1000",0,46,44,2
"4/5 - 4/8, 2025@@23839",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_Emo4hnf.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,558 RV@@1558",0,43,42,1
"3/31 - 4/6, 2025@@23837",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"25,977 RV@@25977",0,43.68,43.99,-0.3100014
"4/1 - 4/3, 2025@@23834",<a href='https://www.cygn.al/poll-democrats-continue-to-struggle-as-trump-maintains-strong-approval-even-in-light-of-tariffs/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Cygnal</a>,"1,500 LV@@1500",0,47.5,46.5,1
"4/1 - 4/3, 2025@@23834",<a href='https://youthpoll.yale.edu/spring-2025-results'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Yale University Institution for Social and Policy Studies</a>,"4,100 RV@@4100",0,43.3,41.7,1.599998
"3/27 - 4/1, 2025@@23832","<a href='https://www.wsj.com/politics/policy/trump-foreign-policy-approval-voters-poll-c0c29dd0'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Fabrizio, Lee & Associates/Impact Research</a>^Sponsor: The Wall Street Journal^","1,500 RV@@1500",0,44,43,1
"3/24 - 3/30, 2025@@23830",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"27,397 RV@@27397",0,43.6,44.44,-0.8400002
"3/21 - 3/23, 2025@@23823",<a href='https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,911 RV@@911,0,38,38,0
"3/17 - 3/23, 2025@@23823",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"27,364 RV@@27364",0,43.09,44.61,-1.52
"3/12 - 3/19, 2025@@23819","<a href='https://www.thirdway.org/polling/democrats-immigration-opportunity'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Normington, Petts & Associates</a>^Sponsor: Third Way^",800 LV@@800,0,50,50,0
"3/10 - 3/16, 2025@@23816",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"26,877 RV@@26877",0,43.2,44.95,-1.75
"3/10 - 3/13, 2025@@23813",<a href='https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,"1,007 LV@@1007",0,46,47,-1
"3/7 - 3/11, 2025@@23811",<a href='https://www.nbcnews.com/politics/politics-news/democratic-party-hits-new-polling-low-voters-want-fight-trump-harder-rcna196161'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Hart Research Associates/Public Opinion Strategies</a>^Sponsor: NBC News^,"1,000 RV@@1000",0,48,47,1
"3/3 - 3/9, 2025@@23809",<a href='https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/67d0921f11ba8d57a17670a9/1741722147070/Clarity+Omnibus+Overview+-+March+2025+PUBLIC.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Clarity Campaign Labs</a>,"1,036 RV@@1036",0,46,44,2
"3/3 - 3/9, 2025@@23809",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"27,685 RV@@27685",0,42.92,44.98,-2.060001
"3/4 - 3/7, 2025@@23807",<a href='https://americasnewmajorityproject.com/most-americans-support-trumps-maha-agenda/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>^Sponsor: America's New Majority Project^,"1,655 LV@@1655",0,45.1,47.8,-2.700001
"3/3 - 3/5, 2025@@23805",<a href='https://www.cygn.al/poll-48-percent-support-trump-negotiating-settlement-to-war-in-ukraine-as-optimism-at-home-rises/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Cygnal</a>,"1,500 LV@@1500",0,47.4,45.9,1.5
"3/2 - 3/3, 2025@@23803",<a href='https://emersoncollegepolling.com/march-2025-national-poll/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Emerson College</a>,"1,000 RV@@1000",0,44.4,41.4,3
"2/24 - 3/2, 2025@@23802",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"28,092 RV@@28092",0,42.96,44.61,-1.650002
"2/25 - 3/2, 2025@@23802",<a href='https://paragoninstitute.org/medicaid/paragon-health-policy-survey-2025/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Public Opinion Strategies</a>^Sponsor: Paragon Health Institute^,"1,000 RV@@1000",0,44,46,-2
"2/17 - 2/23, 2025@@23795",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"27,621 RV@@27621",0,42.1,45.1,-3
"2/21 - 2/23, 2025@@23795",<a href='https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,891 RV@@891,0,38,40,-2
"2/20 - 2/21, 2025@@23793",<a href='https://x.com/ScottWRasmussen/status/1894720317291114920'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan Institute^,"1,000 RV@@1000",0,46,48,-2
"2/16 - 2/18, 2025@@23790",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_OFVhPxp.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,451 RV@@1451",0,42,41,1
"2/11 - 2/18, 2025@@23790",<a href='https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>,"1,000 LV@@1000",0,41,48,-7
"2/15 - 2/17, 2025@@23789",<a href='https://coefficient.org/doge-part-2/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>co/efficient</a>,"2,063 LV@@2063",0,44,46,-2
"2/13 - 2/17, 2025@@23789",<a href='https://www.uschamber.com/assets/documents/USCC_National-Tax-Survey_Deck_Feb-2025.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>^Sponsor: U.S. Chamber of Commerce^,"1,600 LV@@1600",0,43,47,-4
"2/10 - 2/16, 2025@@23788",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"27,203 RV@@27203",0,42.33,45.23,-2.899998
"2/10 - 2/13, 2025@@23785",<a href='https://echeloninsights.com/in-the-news/feb-2025-verified-voter-omnibus-2-2/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,"1,010 LV@@1010",0,46,47,-1
"2/3 - 2/9, 2025@@23781",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"26,690 RV@@26690",0,42.65,45.22,-2.57
"1/31 - 2/6, 2025@@23778",<a href='https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/67aa57a7976e415c4d212706/1739216809584/Clarity+Omnibus+Overview+-+Jan_Feb+2025.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Clarity Campaign Labs</a>,"1,102 RV@@1102",0,45,44,1
"2/4 - 2/5, 2025@@23777",<a href='https://www.cygn.al/poll-trump-winning-over-black-men-dei-skeptics-and-border-hawks-as-democrats-lose-ground/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Cygnal</a>,"1,500 LV@@1500",0,46.2,47.2,-1
"1/27 - 2/2, 2025@@23774",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"29,303 RV@@29303",0,42.85,43.76,-0.9099998
"1/27 - 2/1, 2025@@23773","<a href='https://www.aarp.org/content/dam/aarp/research/topics/voter-opinion-research/politics/federal-tax-package-legislative-priorities.doi.10.26419-2fres.00921.001.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Fabrizio, Lee & Associates/Impact Research</a>^Sponsor: AARP^","3,000 RV@@3000",0,43,43,0
"1/22 - 1/27, 2025@@23768",<a href='https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>,"1,000 LV@@1000",0,40,48,-8
"1/20 - 1/26, 2025@@23767",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"33,299 RV@@33299",0,41.86,44.78,-2.919998
"1/24 - 1/26, 2025@@23767",<a href='https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,902 RV@@902,0,35,37,-2
"1/15 - 1/16, 2025@@23757",<a href='https://napolitannews.org/posts/generic-ballot-gop-51-percent-dem-44'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan Institute^,"1,000 RV@@1000",0,44,51,-7
"1/9 - 1/12, 2025@@23753",<a href='https://www.cygn.al/voters-back-kingmaker-trumps-policies-on-economy-energy-and-health/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Cygnal</a>,"1,500 LV@@1500",0,44.6,46.8,-2.200001
"12/11 - 12/16, 2024@@23726",<a href='https://mclaughlinonline.com/2024/12/18/ma-poll-national-monthly-december-2024/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>,"1,000 LV@@1000",0,42,47,-5
"12/13 - 12/15, 2024@@23725",<a href='https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,890 RV@@890,0,41,37,4
"12/9 - 12/11, 2024@@23721",<a href='https://www.cygn.al/poll-musk-most-effective-trump-surrogate-as-voters-rally-behind-doge-deportations-and-congressional-republicans/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Cygnal</a>,"1,500 LV@@1500",0,44.6,48.4,-3.800003
